MS46122B
!2032304/20262023
!4/29/2022.3:41:18.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
1	0.001000000	-5.084112E-002	0.001000000	-1.415174E+002	0.001000000	-1.052227E+002	0.001000000	1.166304E-002
2	0.100995000	-2.423460E-001	0.100995000	-1.261591E+002	0.100995000	-1.217831E+002	0.100995000	9.231472E-003
3	0.200990000	-3.935135E-001	0.200990000	-1.131922E+002	0.200990000	-1.167243E+002	0.200990000	7.490753E-004
4	0.300985000	-4.879868E-001	0.300985000	-1.170512E+002	0.300985000	-1.144483E+002	0.300985000	8.941639E-003
5	0.400980000	-5.911475E-001	0.400980000	-1.060838E+002	0.400980000	-1.062752E+002	0.400980000	4.359596E-003
6	0.500975000	-7.906883E-001	0.500975000	-1.035890E+002	0.500975000	-1.036604E+002	0.500975000	-1.060626E-002
7	0.600970000	-1.010396E+000	0.600970000	-9.900130E+001	0.600970000	-9.731723E+001	0.600970000	-1.686012E-002
8	0.700965000	-1.278940E+000	0.700965000	-9.224464E+001	0.700965000	-9.253491E+001	0.700965000	-1.149352E-004
9	0.800960000	-1.627225E+000	0.800960000	-9.486098E+001	0.800960000	-9.428714E+001	0.800960000	1.726368E-002
10	0.900955000	-1.993536E+000	0.900955000	-9.180634E+001	0.900955000	-9.134772E+001	0.900955000	1.240185E-002
11	1.000950000	-2.430532E+000	1.000950000	-9.830708E+001	1.000950000	-9.811377E+001	1.000950000	-1.456298E-002
12	1.100945000	-2.741462E+000	1.100945000	-9.701065E+001	1.100945000	-9.706683E+001	1.100945000	-2.770801E-002
13	1.200940000	-3.213737E+000	1.200940000	-9.755058E+001	1.200940000	-9.817711E+001	1.200940000	-1.174272E-002
14	1.300935000	-3.859325E+000	1.300935000	-9.200451E+001	1.300935000	-9.248978E+001	1.300935000	9.982056E-003
15	1.400930000	-4.693414E+000	1.400930000	-9.179114E+001	1.400930000	-9.123198E+001	1.400930000	1.060237E-002
16	1.500925000	-6.391297E+000	1.500925000	-8.828450E+001	1.500925000	-8.894736E+001	1.500925000	-1.232210E-002
17	1.600920000	-1.327675E+001	1.600920000	-8.957691E+001	1.600920000	-8.988282E+001	1.600920000	-3.827281E-002
18	1.700915000	-1.541867E+001	1.700915000	-9.694984E+001	1.700915000	-9.758961E+001	1.700915000	-4.094181E-002
19	1.800910000	-1.464408E+001	1.800910000	-8.760632E+001	1.800910000	-8.791817E+001	1.800910000	-2.239386E-002
20	1.900905000	-2.485058E+001	1.900905000	-7.708372E+001	1.900905000	-7.765126E+001	1.900905000	-2.663447E-003
21	2.000900000	-1.633239E+001	2.000900000	-8.027526E+001	2.000900000	-8.032914E+001	2.000900000	-3.980497E-003
22	2.100895000	-1.268074E+001	2.100895000	-8.351466E+001	2.100895000	-8.356653E+001	2.100895000	-2.406283E-002
23	2.200890000	-1.164208E+001	2.200890000	-8.373827E+001	2.200890000	-8.452065E+001	2.200890000	-5.444017E-002
24	2.300885000	-1.153573E+001	2.300885000	-8.059531E+001	2.300885000	-8.161380E+001	2.300885000	-4.326131E-002
25	2.400880000	-1.307691E+001	2.400880000	-8.003540E+001	2.400880000	-8.066696E+001	2.400880000	-2.000954E-002
26	2.500875000	-1.841622E+001	2.500875000	-7.830470E+001	2.500875000	-7.834552E+001	2.500875000	2.141795E-003
27	2.600870000	-3.081415E+001	2.600870000	-7.535297E+001	2.600870000	-7.570349E+001	2.600870000	5.414039E-003
28	2.700865000	-1.762756E+001	2.700865000	-7.156180E+001	2.700865000	-7.201184E+001	2.700865000	-2.662544E-002
29	2.800860000	-9.989399E+000	2.800860000	-7.183496E+001	2.800860000	-7.205020E+001	2.800860000	-5.752753E-002
30	2.900855000	-5.423151E+000	2.900855000	-7.454187E+001	2.900855000	-7.497536E+001	2.900855000	-3.452273E-002
31	3.000850000	-4.024307E+000	3.000850000	-7.872411E+001	3.000850000	-7.910555E+001	3.000850000	3.817538E-003
32	3.100845000	-3.736583E+000	3.100845000	-8.216147E+001	3.100845000	-8.237709E+001	3.100845000	2.587192E-002
33	3.200840000	-3.783433E+000	3.200840000	-8.345845E+001	3.200840000	-8.380670E+001	3.200840000	-1.214402E-002
34	3.300835000	-3.814214E+000	3.300835000	-8.237695E+001	3.300835000	-8.300881E+001	3.300835000	-6.629784E-002
35	3.400830000	-3.766978E+000	3.400830000	-8.578628E+001	3.400830000	-8.635017E+001	3.400830000	-7.713306E-002
36	3.500825000	-3.874011E+000	3.500825000	-9.147015E+001	3.500825000	-9.121335E+001	3.500825000	-2.763455E-002
37	3.600820000	-3.851304E+000	3.600820000	-1.080788E+002	3.600820000	-9.928040E+001	3.600820000	2.101890E-004
38	3.700815000	-4.048584E+000	3.700815000	-8.889538E+001	3.700815000	-8.891637E+001	3.700815000	-2.907099E-002
39	3.800810000	-4.447452E+000	3.800810000	-8.743239E+001	3.800810000	-8.846848E+001	3.800810000	-7.745638E-002
40	3.900805000	-4.662358E+000	3.900805000	-9.329406E+001	3.900805000	-9.437608E+001	3.900805000	-8.950955E-002
41	4.000800000	-4.831716E+000	4.000800000	-9.274612E+001	4.000800000	-9.189928E+001	4.000800000	-6.441052E-002
42	4.100795000	-5.088984E+000	4.100795000	-9.275676E+001	4.100795000	-9.634114E+001	4.100795000	-6.435377E-002
43	4.200790000	-5.297167E+000	4.200790000	-9.183264E+001	4.200790000	-9.606736E+001	4.200790000	-8.084022E-002
44	4.300785000	-5.660300E+000	4.300785000	-9.195345E+001	4.300785000	-9.540771E+001	4.300785000	-1.053384E-001
45	4.400780000	-6.250022E+000	4.400780000	-1.024003E+002	4.400780000	-1.104494E+002	4.400780000	-1.041711E-001
46	4.500775000	-7.155891E+000	4.500775000	-8.909418E+001	4.500775000	-8.776653E+001	4.500775000	-9.196591E-002
47	4.600770000	-8.195457E+000	4.600770000	-8.599402E+001	4.600770000	-8.598397E+001	4.600770000	-1.158733E-001
48	4.700765000	-9.039461E+000	4.700765000	-8.843307E+001	4.700765000	-8.638519E+001	4.700765000	-1.451884E-001
49	4.800760000	-9.656557E+000	4.800760000	-8.119237E+001	4.800760000	-8.140410E+001	4.800760000	-1.446536E-001
50	4.900755000	-1.059616E+001	4.900755000	-7.895249E+001	4.900755000	-7.701978E+001	4.900755000	-1.480176E-001
51	5.000750000	-1.199473E+001	5.000750000	-7.452203E+001	5.000750000	-7.319118E+001	5.000750000	-1.701935E-001
52	5.100745000	-1.307440E+001	5.100745000	-7.479272E+001	5.100745000	-7.478642E+001	5.100745000	-1.595042E-001
53	5.200740000	-1.462201E+001	5.200740000	-7.482794E+001	5.200740000	-7.659539E+001	5.200740000	-1.206393E-001
54	5.300735000	-1.718161E+001	5.300735000	-7.582451E+001	5.300735000	-7.665823E+001	5.300735000	-1.492732E-001
55	5.400730000	-2.042391E+001	5.400730000	-7.257533E+001	5.400730000	-7.303075E+001	5.400730000	-2.274374E-001
56	5.500725000	-2.301744E+001	5.500725000	-6.728410E+001	5.500725000	-6.713680E+001	5.500725000	-2.753666E-001
57	5.600720000	-2.190688E+001	5.600720000	-6.703490E+001	5.600720000	-6.652602E+001	5.600720000	-2.843149E-001
58	5.700715000	-1.895342E+001	5.700715000	-5.999052E+001	5.700715000	-5.994675E+001	5.700715000	-4.512999E-001
59	5.800710000	-1.641187E+001	5.800710000	-5.683112E+001	5.800710000	-5.684534E+001	5.800710000	-4.501458E-001
